ID,texto
QID94_45, Helena ein Glas Wasser trinkt.
QID97_1, Trinkt ein Glas Wasser Elena.
QID95_1, Helena trinkt ein Glas Wasser.
QID98_1, Ich bereite ein Sandwich vor.
QID99_1, Ich vorbereite ein Sandwich.
QID100_1, Ich bereite ein Sandwich.
QID101_1, Das Kind macht jetzt Betten.
QID102_1, Jetzt das Kind macht Betten.
QID103_1, Macht Betten das Kind jetzt.
QID104_1, Johann aufsteht um sechs Uhr.
QID105_1, Johann steht um sechs Uhr auf.
QID106_1, Johann steht um sechs Uhr.
QID107_15, Ich ziehe mich schnell an.
QID108_1, Ich anziehe mich schnell.
QID109_1, Schnell ziehe ich mich.
QID187_45, Helena ein Glas Wasser trinkt.
QID188_1, Trinkt ein Glas Wasser Elena.
QID189_1, Helena trinkt ein Glas Wasser.
QID190_1, Ich bereite ein Sandwich vor.
QID191_1, Ich vorbereite ein Sandwich.
QID192_1, Ich bereite ein Sandwich.
QID193_1, Das Kind macht jetzt Betten.
QID194_1, Jetzt das Kind macht Betten.
QID195_1, Macht Betten das Kind jetzt.
QID196_1, Johann aufsteht um sechs Uhr.
QID197_1, Johann steht um sechs Uhr auf.
QID198_1, Johann steht um sechs Uhr.
QID199_15, Ich ziehe mich schnell an.
QID200_1, Ich anziehe mich schnell.
QID201_1, Schnell ziehe ich mich.
